model,project,n,TP,FP,FN,TN,precision,recall,F1,specificity,accuracy,balanced_accuracy,FPR,FNR,NPV,MCC
DeepSeek-V4-Pro,BADCamp,790,48,55,54,633,0.46601941747572817,0.47058823529411764,0.4682926829268293,0.9200581395348837,0.8620253164556962,0.6953231874145007,0.07994186046511628,0.5294117647058824,0.9213973799126638,0.38902823476919646
DeepSeek-V4-Pro,PlanningPoker,645,30,54,13,548,0.35714285714285715,0.6976744186046512,0.47244094488188976,0.9102990033222591,0.896124031007752,0.8039867109634551,0.08970099667774087,0.3023255813953488,0.9768270944741533,0.45060498699565954
DeepSeek-V4-Pro,Zooniverse,680,35,116,34,495,0.23178807947019867,0.5072463768115942,0.3181818181818182,0.8101472995090017,0.7794117647058824,0.658696838160298,0.18985270049099837,0.4927536231884058,0.9357277882797732,0.23058290723121327
Gemini-3.1-Pro-Preview,BADCamp,790,42,70,60,618,0.375,0.4117647058823529,0.3925233644859813,0.8982558139534884,0.8354430379746836,0.6550102599179206,0.10174418604651163,0.5882352941176471,0.911504424778761,0.29803062041538647
Gemini-3.1-Pro-Preview,PlanningPoker,645,33,69,10,533,0.3235294117647059,0.7674418604651163,0.45517241379310347,0.8853820598006644,0.8775193798449612,0.8264119601328903,0.11461794019933555,0.23255813953488372,0.9815837937384899,0.4463016904980924
Gemini-3.1-Pro-Preview,Zooniverse,680,31,54,38,557,0.36470588235294116,0.4492753623188406,0.4025974025974026,0.911620294599018,0.8647058823529412,0.6804478284589293,0.088379705400982,0.5507246376811594,0.9361344537815126,0.32950261112263296
GPT-4.1,BADCamp,790,46,43,56,645,0.5168539325842697,0.45098039215686275,0.4816753926701571,0.9375,0.8746835443037975,0.6942401960784313,0.0625,0.5490196078431373,0.920114122681883,0.4120115550197794
GPT-4.1,PlanningPoker,645,22,29,21,573,0.43137254901960786,0.5116279069767442,0.46808510638297873,0.9518272425249169,0.9224806201550387,0.7317275747508305,0.04817275747508306,0.4883720930232558,0.9646464646464646,0.4284122444376561
GPT-4.1,Zooniverse,680,20,89,49,522,0.1834862385321101,0.2898550724637681,0.2247191011235955,0.8543371522094927,0.7970588235294118,0.5720961123366304,0.14566284779050737,0.7101449275362319,0.9141856392294221,0.11867402977252481
GPT-5.2,BADCamp,790,68,86,34,602,0.44155844155844154,0.6666666666666666,0.53125,0.875,0.8481012658227848,0.7708333333333333,0.125,0.3333333333333333,0.9465408805031447,0.45849805464875476
GPT-5.2,PlanningPoker,645,30,84,13,518,0.2631578947368421,0.6976744186046512,0.3821656050955414,0.8604651162790697,0.8496124031007752,0.7790697674418605,0.13953488372093023,0.3023255813953488,0.975517890772128,0.3649854680832969
GPT-5.2,Zooniverse,680,37,174,32,437,0.17535545023696683,0.5362318840579711,0.2642857142857143,0.7152209492635024,0.6970588235294117,0.6257264166607368,0.28477905073649756,0.463768115942029,0.9317697228144989,0.1641247339185786
