analysis_level,analysis_group,metric,n_matched_units,test,statistic,df,p_value,effect_size,effect_size_measure,zero_shot_mean,one_shot_mean,few_shot_mean,zero_shot_median,one_shot_median,few_shot_median
overall,all_models,F1,66,Friedman,1.9126637554584796,2,0.38429996298503244,0.014489876935291511,Kendall_W,0.4865326065085618,0.4570696800727567,0.45662687776834376,0.5533156498673739,0.5309663473781121,0.5174772871149259
by_model,DeepSeek-V4-Pro,F1,22,Friedman,4.172839506172873,2,0.12413075997184692,0.09483726150392893,Kendall_W,0.5031073792077542,0.4969280991162549,0.5104794235689124,0.58290071105478,0.5566140955625307,0.5713907593840406
by_model,GPT-5-Mini,F1,22,Friedman,2.246913580246908,2,0.3251538610307503,0.05106621773288427,Kendall_W,0.46056780275296494,0.4394814043327557,0.40161315012190235,0.5031380114153641,0.5034362115119841,0.36929539295392955
by_model,Gemini-3.1-Pro-Preview,F1,22,Friedman,0.029850746268629567,2,0.98518545816266,0.0006784260515597628,Kendall_W,0.49592263756496613,0.4347995367692596,0.45778805961421637,0.5533156498673739,0.5205822437868068,0.5174772871149259
by_criterion,Atomic,F1,6,Friedman,8.08695652173913,2,0.017536370142342758,0.6739130434782609,Kendall_W,0.5327190335949926,0.6530670407450594,0.5419443997694772,0.5970779220779221,0.7106493506493508,0.5558333333333334
by_criterion,Complete,F1,3,Friedman,2.0,2,0.36787944117144245,0.3333333333333333,Kendall_W,0.02666666666666667,0.0,0.0,0.0,0.0,0.0
by_criterion,Conceptually sound,F1,3,Friedman,0.6666666666666643,2,0.71653131057379,0.11111111111111072,Kendall_W,0.33465608465608465,0.3078510378510379,0.297003367003367,0.2911111111111111,0.37,0.3355555555555555
by_criterion,Estimatable,F1,9,Friedman,1.555555555555543,2,0.4594258240359297,0.08641975308641905,Kendall_W,0.3671261243895871,0.3976072376239532,0.4281567743222799,0.3428571428571428,0.33786864954347223,0.5519392243102759
by_criterion,Full sentence,F1,6,Friedman,2.111111111111105,2,0.34799904079225635,0.1759259259259254,Kendall_W,0.6653211712035242,0.40844310373722137,0.4964691517632694,0.7666666666666666,0.3282051282051282,0.6743589743589744
by_criterion,Independent,F1,3,Friedman,6.0,2,0.04978706836786395,1.0,Kendall_W,0.15366509747896534,0.12414854561359277,0.11989889596926889,0.17462543554006965,0.13402685660958297,0.124047619047619
by_criterion,Minimal,F1,9,Friedman,4.838709677419343,2,0.08897900475488478,0.26881720430107464,Kendall_W,0.29193439574474056,0.2745408895064067,0.3807749399993316,0.25326923076923075,0.2833333333333333,0.3529411764705882
by_criterion,Problem-oriented,F1,9,Friedman,4.222222222222214,2,0.12110333239233023,0.23456790123456747,Kendall_W,0.7011515954278915,0.6858608796307458,0.5993625749448805,0.7464686967479752,0.6151270164329865,0.5518266169183496
by_criterion,Unambiguous,F1,9,Friedman,3.555555555555543,2,0.16901331540606715,0.19753086419753016,Kendall_W,0.5836515123482501,0.5925323933330833,0.614562337857964,0.5965156794425087,0.6231182795698924,0.6601092896174863
by_criterion,Uniform,F1,3,Friedman,4.0,2,0.1353352832366127,0.6666666666666666,Kendall_W,0.4666666666666666,0.0,0.0,0.4,0.0,0.0
by_criterion,Unique,F1,6,Friedman,5.999999999999999,2,0.04978706836786397,0.49999999999999994,Kendall_W,0.7471957671957673,0.8244444444444445,0.7417460317460317,0.7038095238095238,0.8933333333333333,0.78
