analysis_level,analysis_group,metric,comparison,prompt_a,prompt_b,n_matched_units,n_nonzero_differences,test,statistic,p_value,p_holm,effect_size,effect_size_measure,effect_direction,prompt_a_mean,prompt_b_mean,mean_difference_a_minus_b,median_difference_a_minus_b
overall,all_models,F1,zero_shot_vs_one_shot,zero_shot,one_shot,66,56,Wilcoxon_signed_rank_two_sided,1005.0,0.640322135729311,1.0,-0.06641604010025062,matched_rank_biserial,one_shot_higher,0.4865326065085618,0.4570696800727567,0.029462926435805028,0.0
overall,all_models,F1,zero_shot_vs_few_shot,zero_shot,few_shot,66,59,Wilcoxon_signed_rank_two_sided,1080.0,0.941395947699989,1.0,0.024858757062146894,matched_rank_biserial,zero_shot_higher,0.4865326065085618,0.45662687776834376,0.029905728740218074,0.0
overall,all_models,F1,one_shot_vs_few_shot,one_shot,few_shot,66,55,Wilcoxon_signed_rank_two_sided,875.0,0.20590175747897976,0.6177052724369393,0.16363636363636364,matched_rank_biserial,one_shot_higher,0.4570696800727567,0.45662687776834376,0.00044280230441304415,0.0007541929147790727
by_model,DeepSeek-V4-Pro,F1,zero_shot_vs_one_shot,zero_shot,one_shot,22,20,Wilcoxon_signed_rank_two_sided,90.0,0.2555186181827862,0.5179510662766672,-0.2761904761904762,matched_rank_biserial,one_shot_higher,0.5031073792077542,0.4969280991162549,0.006179280091499282,-0.012312198600104685
by_model,DeepSeek-V4-Pro,F1,zero_shot_vs_few_shot,zero_shot,few_shot,22,21,Wilcoxon_signed_rank_two_sided,84.0,0.17265035542555573,0.5179510662766672,-0.3333333333333333,matched_rank_biserial,few_shot_higher,0.5031073792077542,0.5104794235689124,-0.007372044361158034,-0.029595565893152265
by_model,DeepSeek-V4-Pro,F1,one_shot_vs_few_shot,one_shot,few_shot,22,19,Wilcoxon_signed_rank_two_sided,96.0,0.3710775549422036,0.5179510662766672,0.17894736842105263,matched_rank_biserial,one_shot_higher,0.4969280991162549,0.5104794235689124,-0.01355132445265732,0.0019426697468937493
by_model,GPT-5-Mini,F1,zero_shot_vs_one_shot,zero_shot,one_shot,22,19,Wilcoxon_signed_rank_two_sided,96.0,0.3710775549422036,0.3710775549422036,0.2736842105263158,matched_rank_biserial,zero_shot_higher,0.46056780275296494,0.4394814043327557,0.02108639842020924,0.0
by_model,GPT-5-Mini,F1,zero_shot_vs_few_shot,zero_shot,few_shot,22,21,Wilcoxon_signed_rank_two_sided,67.0,0.0554000089632504,0.1662000268897512,0.48917748917748916,matched_rank_biserial,zero_shot_higher,0.46056780275296494,0.40161315012190235,0.05895465263106254,0.02761241446725319
by_model,GPT-5-Mini,F1,one_shot_vs_few_shot,one_shot,few_shot,22,20,Wilcoxon_signed_rank_two_sided,76.0,0.11141484636672984,0.22282969273345968,0.4095238095238095,matched_rank_biserial,one_shot_higher,0.4394814043327557,0.40161315012190235,0.037868254210853304,0.011656285447648664
by_model,Gemini-3.1-Pro-Preview,F1,zero_shot_vs_one_shot,zero_shot,one_shot,22,17,Wilcoxon_signed_rank_two_sided,115.0,0.8959224572369026,1.0,-0.08496732026143791,matched_rank_biserial,one_shot_higher,0.49592263756496613,0.4347995367692596,0.06112310079570657,0.0
by_model,Gemini-3.1-Pro-Preview,F1,zero_shot_vs_few_shot,zero_shot,few_shot,22,17,Wilcoxon_signed_rank_two_sided,115.0,0.8959224572369026,1.0,-0.0196078431372549,matched_rank_biserial,few_shot_higher,0.49592263756496613,0.45778805961421637,0.03813457795074971,0.0
by_model,Gemini-3.1-Pro-Preview,F1,one_shot_vs_few_shot,one_shot,few_shot,22,16,Wilcoxon_signed_rank_two_sided,108.0,0.7926304989885811,1.0,-0.11764705882352941,matched_rank_biserial,few_shot_higher,0.4347995367692596,0.45778805961421637,-0.022988522844956852,0.0
by_criterion,Atomic,F1,zero_shot_vs_one_shot,zero_shot,one_shot,6,5,Wilcoxon_signed_rank_two_sided,0.0,0.0625,0.125,-1.0,matched_rank_biserial,one_shot_higher,0.5327190335949926,0.6530670407450594,-0.12034800715006665,-0.11357142857142866
