model,project,run,criteria_with_defined_f1,macro_F1,micro_F1,micro_precision,micro_recall
DeepSeek-V4-Pro,BADCamp,1,11,0.4250569235910138,0.4873096446700508,0.5052631578947369,0.47058823529411764
DeepSeek-V4-Pro,BADCamp,2,11,0.4258906785222575,0.44761904761904764,0.4351851851851852,0.46078431372549017
DeepSeek-V4-Pro,BADCamp,3,11,0.4659212000121091,0.4549763033175355,0.44036697247706424,0.47058823529411764
DeepSeek-V4-Pro,BADCamp,4,11,0.4673072026013203,0.47115384615384615,0.46226415094339623,0.4803921568627451
DeepSeek-V4-Pro,BADCamp,5,10,0.498009885746698,0.4585365853658537,0.4563106796116505,0.46078431372549017
DeepSeek-V4-Pro,PlanningPoker,1,9,0.3127243127243127,0.4461538461538462,0.3333333333333333,0.6744186046511628
DeepSeek-V4-Pro,PlanningPoker,2,9,0.3118218863772899,0.4444444444444444,0.32608695652173914,0.6976744186046512
DeepSeek-V4-Pro,PlanningPoker,3,10,0.28185612836775625,0.4745762711864407,0.37333333333333335,0.6511627906976745
DeepSeek-V4-Pro,PlanningPoker,4,9,0.34333814333814333,0.5,0.4057971014492754,0.6511627906976745
DeepSeek-V4-Pro,PlanningPoker,5,9,0.3380375008281985,0.46875,0.35294117647058826,0.6976744186046512
DeepSeek-V4-Pro,Zooniverse,1,10,0.2875330818176699,0.5421686746987951,0.4639175257731959,0.6521739130434783
DeepSeek-V4-Pro,Zooniverse,2,10,0.391739879414298,0.4336283185840708,0.31210191082802546,0.7101449275362319
DeepSeek-V4-Pro,Zooniverse,3,10,0.326572273182862,0.34782608695652173,0.2608695652173913,0.5217391304347826
DeepSeek-V4-Pro,Zooniverse,4,10,0.2733717502010185,0.3076923076923077,0.21348314606741572,0.5507246376811594
DeepSeek-V4-Pro,Zooniverse,5,10,0.24687179487179484,0.33962264150943394,0.2517482517482518,0.5217391304347826
Gemini-3.1-Pro-Preview,BADCamp,1,11,0.4603722403722404,0.3867924528301887,0.37272727272727274,0.4019607843137255
Gemini-3.1-Pro-Preview,BADCamp,2,11,0.4174583968558144,0.3925233644859813,0.375,0.4117647058823529
Gemini-3.1-Pro-Preview,BADCamp,3,11,0.43384981032039854,0.3944954128440367,0.3706896551724138,0.4215686274509804
Gemini-3.1-Pro-Preview,BADCamp,4,11,0.4018380580575702,0.38497652582159625,0.36936936936936937,0.4019607843137255
Gemini-3.1-Pro-Preview,BADCamp,5,11,0.3988974095143392,0.3791469194312796,0.3669724770642202,0.39215686274509803
Gemini-3.1-Pro-Preview,PlanningPoker,1,8,0.43587662337662336,0.4806201550387597,0.36046511627906974,0.7209302325581395
Gemini-3.1-Pro-Preview,PlanningPoker,2,8,0.4396242055816524,0.5038167938931297,0.375,0.7674418604651163
Gemini-3.1-Pro-Preview,PlanningPoker,3,8,0.43729707792207795,0.46153846153846156,0.33,0.7674418604651163
Gemini-3.1-Pro-Preview,PlanningPoker,4,8,0.4024985431235431,0.42857142857142855,0.2972972972972973,0.7674418604651163
Gemini-3.1-Pro-Preview,PlanningPoker,5,8,0.43729707792207795,0.4520547945205479,0.32038834951456313,0.7674418604651163
Gemini-3.1-Pro-Preview,Zooniverse,1,11,0.22902111597763772,0.39490445859872614,0.3522727272727273,0.4492753623188406
Gemini-3.1-Pro-Preview,Zooniverse,2,10,0.2630723626852659,0.45161290322580644,0.4069767441860465,0.5072463768115942
Gemini-3.1-Pro-Preview,Zooniverse,3,11,0.3046621416186634,0.40236686390532544,0.34,0.4927536231884058
Gemini-3.1-Pro-Preview,Zooniverse,4,11,0.1993674363239581,0.33695652173913043,0.26956521739130435,0.4492753623188406
