level,model,project,runs,TP_mean,TP_sd,FP_mean,FP_sd,FN_mean,FN_sd,TN_mean,TN_sd,precision_mean,precision_sd,recall_mean,recall_sd,F1_mean,F1_sd,specificity_mean,specificity_sd,accuracy_mean,accuracy_sd,MCC_mean,MCC_sd
project,DeepSeek-V4-Pro,BADCamp,5,47.8,0.8366600265340756,56.4,5.727128425310541,54.2,0.8366600265340756,631.6,5.727128425310541,0.4598780292224066,0.02769768648589276,0.46862745098039216,0.008202549279745857,0.4639190854252668,0.015605254850399417,0.9180232558139535,0.008324314571672313,0.86,0.007520734570892627,0.38364603519957796,0.020148677122494248
project,DeepSeek-V4-Pro,PlanningPoker,5,29.0,1.0,52.6,8.502940667792526,14.0,1.0,549.4,8.502940667792526,0.3582983802216539,0.03229437779347826,0.6744186046511629,0.023255813953488358,0.46678491235694625,0.02287217899663687,0.912624584717608,0.014124486159123808,0.8967441860465117,0.01188855163577105,0.4419876797191016,0.01980701790987848
project,DeepSeek-V4-Pro,Zooniverse,5,40.8,5.890670590009257,101.8,31.641744578957717,28.2,5.890670590009257,509.2,31.641744578957717,0.30042407992685605,0.09792739712714749,0.5913043478260869,0.08537203753636606,0.3941876058882259,0.09495015656857683,0.8333878887070376,0.05178681600484077,0.8088235294117647,0.05054846247734472,0.323182230584817,0.1109923920980349
project,Gemini-3.1-Pro-Preview,BADCamp,5,41.4,1.140175425099138,70.2,1.6431676725154984,60.6,1.140175425099138,617.8,1.6431676725154984,0.3709517548666552,0.003080099197822839,0.40588235294117647,0.01117819044214841,0.38758693508261655,0.0061395175500339036,0.8979651162790698,0.0023883251054004377,0.8344303797468354,0.0010590633247266835,0.2925150317191676,0.006227156768033986
project,Gemini-3.1-Pro-Preview,PlanningPoker,5,32.6,0.8944271909999159,65.0,9.974968671630002,10.4,0.8944271909999159,537.0,9.974968671630002,0.336630152618186,0.03120568570112905,0.758139534883721,0.02080063234883529,0.46532032671246554,0.02853428243059341,0.8920265780730897,0.01656971540137873,0.8831007751937985,0.01473276157296696,0.4540884875689907,0.02561938881043498
project,Gemini-3.1-Pro-Preview,Zooniverse,5,33.2,2.04939015319192,59.6,16.592166826548002,35.8,2.04939015319192,551.4,16.592166826548002,0.36709627110334897,0.07411303462199076,0.4811594202898551,0.029701306567998853,0.41439037171601995,0.0571175279220565,0.902454991816694,0.027155755853597394,0.8597058823529412,0.026564376333078094,0.3420453005426572,0.06670424327058924
project,GPT-4.1,BADCamp,5,45.8,4.024922359499621,43.8,4.494441010848846,56.2,4.024922359499621,644.2,4.494441010848846,0.511403661141875,0.040232287272129616,0.44901960784313727,0.03946002313234921,0.4779198673837458,0.03780099761618334,0.9363372093023254,0.006532617748326823,0.8734177215189873,0.008995361014906236,0.40753636927503567,0.04262688773118788
project,GPT-4.1,PlanningPoker,5,20.8,3.5637059362410923,25.0,10.319883720275147,22.2,3.5637059362410923,577.0,10.319883720275147,0.47956110556110554,0.1365245377132277,0.48372093023255813,0.08287688223816492,0.46985531054527074,0.056726528761508424,0.9584717607973422,0.017142663987168006,0.9268217054263566,0.013399870038035297,0.43743283973853,0.06926649530840485
project,GPT-4.1,Zooniverse,5,21.6,4.39317652729776,88.8,7.328028384224504,47.4,4.39317652729776,522.2,7.328028384224504,0.19533255783255782,0.03325668848539092,0.31304347826086953,0.06366922503330084,0.24028706530934296,0.043402862760282074,0.8546644844517186,0.011993499810514743,0.7997058823529412,0.012710170844901126,0.13708976972604742,0.051177594829244034
project,GPT-5.2,BADCamp,5,69.4,5.412947441089743,87.8,4.868264577855234,32.6,5.412947441089743,600.2,4.868264577855234,0.44126616966369364,0.023737776190604444,0.6803921568627451,0.05306811216754651,0.5351197559127491,0.03229856410647843,0.8723837209302326,0.0070759659561849455,0.8475949367088607,0.009022040344914165,0.4641366258101266,0.04011275698590636
project,GPT-5.2,PlanningPoker,5,28.6,3.646916505762094,83.2,7.049822692805827,14.4,3.646916505762094,518.8,7.049822692805827,0.25541655034476596,0.018938624637398666,0.6651162790697673,0.08481201176190917,0.3686449223843745,0.031163982349963138,0.8617940199335548,0.011710668924926625,0.8486821705426356,0.008392166575332953,0.3468132884863916,0.04313089218120984
project,GPT-5.2,Zooniverse,5,36.6,0.5477225575051661,152.0,23.600847442411894,32.4,0.5477225575051661,459.0,23.600847442411894,0.19663377809646346,0.02625301315154737,0.5304347826086957,0.007938008079785052,0.28615743948671646,0.027898678125780077,0.751227495908347,0.03862659155877562,0.7288235294117646,0.034825317919095725,0.1916488786348136,0.035429102156494925
overall,DeepSeek-V4-Pro,,5,117.6,6.107372593840988,210.8,31.995312156626944,96.4,6.107372593840988,1690.2,31.995312156626944,0.3610424028028129,0.04382234769893091,0.5495327102803739,0.028539124270284977,0.4348986180309429,0.03604963910059035,0.8891109942135719,0.016830779672081506,0.8547517730496453,0.01599339266352078,0.36673849749604964,0.04109087973253083
overall,Gemini-3.1-Pro-Preview,,5,107.2,3.1144823004794873,194.8,23.99374918598592,106.8,3.1144823004794873,1706.2,23.99374918598592,0.3566544054563986,0.028765441580345278,0.5009345794392523,0.014553655609717204,0.41620238190153785,0.022513977598257538,0.8975276170436611,0.01262164607363805,0.8573995271867613,0.011718712129936387,0.34430624461685927,0.025974907612620023
overall,GPT-4.1,,5,88.2,4.08656334834051,157.6,19.743353311937668,125.8,4.08656334834051,1743.4,19.743353311937668,0.36072814436259215,0.03218361293886947,0.4121495327102804,0.019096090412806122,0.3840941078448652,0.02078940146895574,0.9170962651236192,0.010385772389236022,0.8660047281323877,0.009316940533526847,0.31061729045229375,0.025139418748943952
overall,GPT-5.2,,5,134.6,4.39317652729776,323.0,22.54994456755936,79.4,4.39317652729776,1578.0,22.54994456755936,0.29480695578291183,0.02099340338758942,0.6289719626168224,0.020528862277092334,0.4013353595559016,0.023527281933033963,0.8300894266175696,0.011862148641535723,0.8097399527186762,0.012610027469586628,0.3366173589735575,0.028059125955212608
