model,dimension,runs,TP_mean,TP_sd,FP_mean,FP_sd,FN_mean,FN_sd,TN_mean,TN_sd,precision_mean,precision_sd,precision_defined_runs,recall_mean,recall_sd,recall_defined_runs,F1_mean,F1_sd,F1_defined_runs,specificity_mean,specificity_sd,specificity_defined_runs,accuracy_mean,accuracy_sd,accuracy_defined_runs,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_defined_runs,FPR_mean,FPR_sd,FPR_defined_runs,FNR_mean,FNR_sd,FNR_defined_runs,NPV_mean,NPV_sd,NPV_defined_runs,MCC_mean,MCC_sd,MCC_defined_runs
DeepSeek-V4-Pro,Pragmatic,5,28.6,2.073644135332772,133.0,15.247950681976906,26.4,2.073644135332772,810.0,15.247950681976906,0.17774331638821778,0.012636929334384756,5,0.52,0.037702620642414024,5,0.2644775043364938,0.014581301000074747,5,0.8589607635206786,0.016169618962859938,5,0.8402805611222445,0.014002983605834197,5,0.6894803817603393,0.014855890532951133,5,0.14103923647932132,0.01616961896285992,5,0.48,0.037702620642414024,5,0.9684544535043046,0.0020527715985507473,5,0.23520606718236034,0.01715051997252683,5
DeepSeek-V4-Pro,Semantic,5,79.6,6.4265076052238514,74.0,23.119256043393783,54.4,6.4265076052238514,432.0,23.119256043393783,0.5272994387943142,0.08760471551246317,5,0.5940298507462687,0.04795901197928246,5,0.5559661911259456,0.059014646430848194,5,0.8537549407114624,0.04569022933477029,5,0.799375,0.037914377220257756,5,0.7238923957288655,0.033835606201976065,5,0.14624505928853757,0.04569022933477033,5,0.4059701492537313,0.04795901197928246,5,0.8880713173493684,0.012794567601085636,5,0.43077630713429627,0.08123671687358919,5
DeepSeek-V4-Pro,Syntactic,5,9.4,0.5477225575051661,3.8,2.4899799195977463,15.6,0.5477225575051661,448.2,2.4899799195977463,0.7315864527629233,0.12571246116191642,5,0.376,0.021908902300206663,5,0.4933462033462033,0.033500238065591104,5,0.9915929203539823,0.005508805131853412,5,0.959329140461216,0.005048886615845854,5,0.6837964601769911,0.010587729115890098,5,0.008407079646017699,0.005508805131853422,5,0.624,0.021908902300206663,5,0.9663663354605333,0.0011093534432887876,5,0.5047533113187967,0.05028062606184763,5
GPT-4.1,Pragmatic,5,34.6,1.51657508881031,59.4,13.63084736911099,20.4,1.51657508881031,883.6,13.63084736911099,0.37538137741471805,0.06295596842540285,5,0.629090909090909,0.02757409252382383,5,0.46753045837970897,0.045040607481516316,5,0.9370095440084836,0.014454769214327666,5,0.9200400801603207,0.013243900558536739,5,0.7830502265496964,0.013331427845630368,5,0.06299045599151644,0.014454769214327666,5,0.3709090909090909,0.02757409252382383,5,0.9774380280797643,0.001575721772959332,5,0.445802170150847,0.043628465838999576,5
GPT-4.1,Semantic,5,44.2,4.658325879540846,83.8,6.572670690061994,89.8,4.658325879540846,422.2,6.572670690061994,0.3454428196768253,0.029922539226313192,5,0.32985074626865674,0.034763625966722736,5,0.337192188095392,0.03059584539098536,5,0.8343873517786561,0.012989467766920906,5,0.72875,0.012960275845829814,5,0.5821190490236564,0.018939077945351858,5,0.1656126482213439,0.012989467766920936,5,0.6701492537313433,0.034763625966722736,5,0.8246375820147115,0.008059598883023251,5,0.16709123966333264,0.0374212673421682,5
GPT-4.1,Syntactic,5,9.4,1.3416407864998738,14.4,0.8944271909999159,15.6,1.3416407864998738,437.6,0.8944271909999159,0.39392621870882744,0.04471400347100644,5,0.376,0.05366563145999495,5,0.38454045447966423,0.048937428901398405,5,0.968141592920354,0.0019788212190263595,5,0.9371069182389937,0.003922072732467438,5,0.672070796460177,0.027219302668859743,5,0.03185840707964602,0.0019788212190263643,5,0.624,0.05366563145999495,5,0.9655831297330164,0.0028759816067471682,5,0.35165487472677015,0.05062477581519432,5
GPT-5.2,Pragmatic,5,38.2,4.8166378315169185,196.8,19.097120201747696,16.8,4.8166378315169185,746.2,19.097120201747696,0.16383057342396998,0.028847370041961175,5,0.6945454545454546,0.08757523330030763,5,0.26499876532542616,0.04407347846406597,5,0.7913043478260869,0.02025145302412267,5,0.7859719438877756,0.0232477886447027,5,0.7429249011857707,0.052391265851707516,5,0.20869565217391303,0.020251453024122696,5,0.3054545454545455,0.08757523330030761,5,0.9779024063027895,0.006621087438586814,5,0.2623686147418193,0.0610265040527332,5
GPT-5.2,Semantic,5,89.0,5.830951894845301,108.8,21.311968468445144,45.0,5.830951894845301,397.2,21.311968468445144,0.4540943179506784,0.06438786574451176,5,0.664179104477612,0.043514566379442544,5,0.5385761432637439,0.0580942845914787,5,0.7849802371541502,0.04211851475977301,5,0.7596875,0.040810872861897975,5,0.724579670815881,0.040400107992596725,5,0.2150197628458498,0.042118514759773004,5,0.3358208955223881,0.04351456637944253,5,0.8978619730366681,0.0157634442762687,5,0.39749762782744813,0.08051979368277934,5
GPT-5.2,Syntactic,5,7.4,0.5477225575051661,17.4,2.8809720581775866,17.6,0.5477225575051661,434.6,2.8809720581775866,0.30185185185185187,0.046733911559290096,5,0.29600000000000004,0.021908902300206635,5,0.2983430091920658,0.03357766741261784,5,0.9615044247787611,0.006373831987118546,5,0.9266247379454927,0.0069530918036800875,5,0.6287522123893805,0.01353712593879322,5,0.03849557522123894,0.006373831987118554,5,0.704,0.021908902300206604,5,0.9610746936412783,0.0013614359698864381,5,0.25998987620060665,0.03717964046956951,5
Gemini-3.1-Pro-Preview,Pragmatic,5,23.8,2.04939015319192,144.2,15.833508770957877,31.2,2.04939015319192,798.8,15.833508770957877,0.14249415576645288,0.015353932794878383,5,0.43272727272727274,0.03726163914894398,5,0.21411684004714443,0.020606798216388514,5,0.847083775185578,0.016790571337176964,5,0.824248496993988,0.015947295937741697,5,0.6399055239564253,0.0202453927940657,5,0.15291622481442205,0.016790571337176968,5,0.5672727272727273,0.03726163914894401,5,0.9624036538625083,0.0024940560118947605,5,0.17123343099495247,0.026091231088761265,5
Gemini-3.1-Pro-Preview,Semantic,5,73.4,3.9115214431215892,48.2,10.756393447619885,60.6,3.9115214431215892,457.8,10.756393447619885,0.6072640970249965,0.05232294518794416,5,0.5477611940298508,0.029190458530758124,5,0.5747614478722868,0.02871619982089983,5,0.9047430830039526,0.02125769456051359,5,0.83,0.016476782908080106,5,0.7262521385169016,0.015905614395902257,5,0.09525691699604742,0.02125769456051361,5,0.45223880597014926,0.02919045853075813,5,0.8831225742609597,0.006422195833222312,5,0.4707655045719823,0.03995925666243539,5
Gemini-3.1-Pro-Preview,Syntactic,5,10.0,0.0,2.4,1.140175425099138,15.0,0.0,449.6,1.140175425099138,0.8118548118548119,0.07367844017346364,5,0.4,0.0,5,0.5351545877861668,0.016210735025381576,5,0.9946902654867257,0.0025225120024317347,5,0.9635220125786164,0.0023903048744216807,5,0.6973451327433628,0.0012612560012158407,5,0.005309734513274336,0.0025225120024317212,5,0.6,0.0,5,0.967714007070357,7.928085459243104e-05,5,0.5542617207185647,0.02807486406465617,5
