model,project,runs,TP_mean,TP_sd,FP_mean,FP_sd,FN_mean,FN_sd,TN_mean,TN_sd,precision_mean,precision_sd,precision_defined_runs,recall_mean,recall_sd,recall_defined_runs,F1_mean,F1_sd,F1_defined_runs,specificity_mean,specificity_sd,specificity_defined_runs,accuracy_mean,accuracy_sd,accuracy_defined_runs,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_defined_runs,FPR_mean,FPR_sd,FPR_defined_runs,FNR_mean,FNR_sd,FNR_defined_runs,NPV_mean,NPV_sd,NPV_defined_runs,MCC_mean,MCC_sd,MCC_defined_runs
DeepSeek-V4-Pro,BADCamp,5,47.8,0.8366600265340756,56.4,5.727128425310541,54.2,0.8366600265340756,631.6,5.727128425310541,0.4598780292224066,0.02769768648589276,5,0.46862745098039216,0.008202549279745857,5,0.4639190854252668,0.015605254850399417,5,0.9180232558139535,0.008324314571672313,5,0.86,0.007520734570892627,5,0.6933253533971728,0.006368395060304805,5,0.08197674418604652,0.0083243145716723,5,0.5313725490196078,0.00820254927974581,5,0.9209636477036099,0.0014050437853588092,5,0.383646035199578,0.020148677122494248,5
DeepSeek-V4-Pro,PlanningPoker,5,29.0,1.0,52.6,8.502940667792526,14.0,1.0,549.4,8.502940667792526,0.3582983802216539,0.03229437779347826,5,0.6744186046511628,0.023255813953488358,5,0.46678491235694625,0.02287217899663687,5,0.912624584717608,0.014124486159123808,5,0.8967441860465116,0.01188855163577105,5,0.7935215946843854,0.0067116624089159135,5,0.08737541528239202,0.014124486159123796,5,0.32558139534883723,0.023255813953488386,5,0.9751661029956816,0.0014231021552207634,5,0.4419876797191016,0.01980701790987848,5
DeepSeek-V4-Pro,Zooniverse,5,40.8,5.890670590009257,101.8,31.641744578957717,28.2,5.890670590009257,509.2,31.641744578957717,0.30042407992685605,0.09792739712714749,5,0.591304347826087,0.08537203753636606,5,0.3941876058882259,0.09495015656857683,5,0.8333878887070376,0.05178681600484077,5,0.8088235294117647,0.05054846247734472,5,0.7123461182665624,0.057930672915541284,5,0.16661211129296236,0.05178681600484078,5,0.40869565217391307,0.08537203753636603,5,0.9473003181117147,0.011912773772888123,5,0.32318223058481704,0.1109923920980349,5
GPT-4.1,BADCamp,5,45.8,4.024922359499621,43.8,4.494441010848846,56.2,4.024922359499621,644.2,4.494441010848846,0.511403661141875,0.040232287272129616,5,0.44901960784313727,0.03946002313234921,5,0.4779198673837458,0.03780099761618334,5,0.9363372093023256,0.006532617748326823,5,0.8734177215189873,0.008995361014906236,5,0.6926784085727314,0.021217280179514932,5,0.06366279069767442,0.0065326177483268095,5,0.5509803921568627,0.03946002313234924,5,0.9197722377185306,0.0055126288733401835,5,0.40753636927503567,0.04262688773118788,5
GPT-4.1,PlanningPoker,5,20.8,3.5637059362410923,25.0,10.319883720275147,22.2,3.5637059362410923,577.0,10.319883720275147,0.47956110556110554,0.1365245377132277,5,0.48372093023255813,0.08287688223816492,5,0.46985531054527074,0.056726528761508424,5,0.9584717607973422,0.017142663987168006,5,0.9268217054263566,0.013399870038035297,5,0.7210963455149502,0.03688960758027425,5,0.04152823920265781,0.017142663987168016,5,0.5162790697674419,0.08287688223816495,5,0.9630145584440821,0.0053583637935768124,5,0.43743283973853003,0.06926649530840485,5
GPT-4.1,Zooniverse,5,21.6,4.39317652729776,88.8,7.328028384224504,47.4,4.39317652729776,522.2,7.328028384224504,0.19533255783255785,0.03325668848539092,5,0.31304347826086953,0.06366922503330084,5,0.240287065309343,0.043402862760282074,5,0.8546644844517185,0.011993499810514743,5,0.7997058823529412,0.012710170844901126,5,0.5838539813562941,0.03254972269901736,5,0.1453355155482815,0.011993499810514736,5,0.6869565217391305,0.06366922503330084,5,0.9168141280463457,0.007229035109456586,5,0.13708976972604742,0.051177594829244034,5
GPT-5.2,BADCamp,5,69.4,5.412947441089743,87.8,4.868264577855234,32.6,5.412947441089743,600.2,4.868264577855234,0.4412661696636937,0.023737776190604444,5,0.6803921568627451,0.05306811216754651,5,0.5351197559127491,0.03229856410647843,5,0.8723837209302325,0.0070759659561849455,5,0.8475949367088608,0.009022040344914165,5,0.7763879388964888,0.026622096433406472,5,0.12761627906976744,0.0070759659561849325,5,0.31960784313725493,0.053068112167546505,5,0.9485381378777977,0.008077332579862545,5,0.46413662581012666,0.04011275698590636,5
GPT-5.2,PlanningPoker,5,28.6,3.646916505762094,83.2,7.049822692805827,14.4,3.646916505762094,518.8,7.049822692805827,0.2554165503447659,0.018938624637398666,5,0.6651162790697674,0.08481201176190917,5,0.3686449223843745,0.031163982349963138,5,0.8617940199335549,0.011710668924926625,5,0.8486821705426356,0.008392166575332953,5,0.7634551495016612,0.03882124127143016,5,0.1382059800664452,0.011710668924926629,5,0.33488372093023255,0.08481201176190915,5,0.9730701549661479,0.006370561588119419,5,0.34681328848639154,0.04313089218120984,5
GPT-5.2,Zooniverse,5,36.6,0.5477225575051661,152.0,23.600847442411894,32.4,0.5477225575051661,459.0,23.600847442411894,0.19663377809646346,0.02625301315154737,5,0.5304347826086957,0.007938008079785052,5,0.2861574394867164,0.027898678125780077,5,0.7512274959083469,0.03862659155877562,5,0.7288235294117648,0.034825317919095725,5,0.6408311392585213,0.020236381807678398,5,0.24877250409165302,0.03862659155877561,5,0.46956521739130436,0.00793800807978502,5,0.933941502114705,0.003412377028605074,5,0.1916488786348136,0.035429102156494925,5
Gemini-3.1-Pro-Preview,BADCamp,5,41.4,1.140175425099138,70.2,1.6431676725154984,60.6,1.140175425099138,617.8,1.6431676725154984,0.3709517548666552,0.003080099197822839,5,0.40588235294117647,0.01117819044214841,5,0.3875869350826165,0.0061395175500339036,5,0.8979651162790698,0.0023883251054004377,5,0.8344303797468354,0.0010590633247266835,5,0.6519237346101231,0.0045725106497145965,5,0.10203488372093023,0.002388325105400432,5,0.5941176470588235,0.011178190442148371,5,0.9106761737897084,0.0013456306391880742,5,0.2925150317191676,0.006227156768033986,5
