model,project,dimension,runs,TP_mean,TP_sd,FP_mean,FP_sd,FN_mean,FN_sd,TN_mean,TN_sd,precision_mean,precision_sd,precision_defined_runs,recall_mean,recall_sd,recall_defined_runs,F1_mean,F1_sd,F1_defined_runs,specificity_mean,specificity_sd,specificity_defined_runs,accuracy_mean,accuracy_sd,accuracy_defined_runs,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_defined_runs,FPR_mean,FPR_sd,FPR_defined_runs,FNR_mean,FNR_sd,FNR_defined_runs,NPV_mean,NPV_sd,NPV_defined_runs,MCC_mean,MCC_sd,MCC_defined_runs
DeepSeek-V4-Pro,BADCamp,Pragmatic,5,13.0,1.0,44.8,6.418722614352485,23.0,1.0,290.2,6.418722614352485,0.2269926608636286,0.027913033607209172,5,0.3611111111111111,0.02777777777777779,5,0.2780127808699237,0.025236195124586566,5,0.866268656716418,0.01916036601299249,5,0.8172506738544474,0.01730113912224388,5,0.6136898839137646,0.01624658290524724,5,0.13373134328358208,0.01916036601299249,5,0.6388888888888888,0.027777777777777735,5,0.9265506649842472,0.00322136800089647,5,0.1866687034626849,0.030913803017570605,5
DeepSeek-V4-Pro,BADCamp,Semantic,5,28.4,0.8944271909999159,10.0,5.787918451395113,28.6,0.8944271909999159,167.0,5.787918451395113,0.7527180740687225,0.10975045187543582,5,0.4982456140350877,0.01569170510526168,5,0.5970012195402075,0.03716218564026238,5,0.943502824858757,0.03270010424517014,5,0.8350427350427351,0.025028291392045026,5,0.7208742194469224,0.018135093236288372,5,0.05649717514124294,0.03270010424517013,5,0.5017543859649123,0.015691705105261706,5,0.8536927110738078,0.005968398176354055,5,0.5168270366536253,0.06856917296327868,5
DeepSeek-V4-Pro,BADCamp,Syntactic,5,6.4,0.5477225575051661,1.6,0.8944271909999159,2.6,0.5477225575051661,174.4,0.8944271909999159,0.8078571428571428,0.0780175281195037,5,0.7111111111111111,0.060858061945018485,5,0.753250773993808,0.043223933510794406,5,0.9909090909090909,0.005081972676135875,5,0.9772972972972973,0.004522486629913915,5,0.851010101010101,0.029483066739483876,5,0.00909090909090909,0.005081972676135885,5,0.28888888888888886,0.06085806194501845,5,0.9853229951664535,0.0030249372493772594,5,0.7447966512107083,0.04548334167980675,5
DeepSeek-V4-Pro,PlanningPoker,Pragmatic,5,6.4,0.8944271909999159,40.4,5.549774770204643,0.6,0.8944271909999159,249.6,5.549774770204643,0.1377261936669602,0.021742435373850965,5,0.9142857142857143,0.12777531299998798,5,0.23901353184620405,0.03543674954736819,5,0.8606896551724138,0.01913715438001599,5,0.8619528619528619,0.0179748792121739,5,0.887487684729064,0.06157448273016663,5,0.1393103448275862,0.01913715438001601,5,0.08571428571428572,0.12777531299998798,5,0.9976310483870968,0.003508368660341704,5,0.32350808803018904,0.05136338810985726,5
DeepSeek-V4-Pro,PlanningPoker,Semantic,5,22.6,0.8944271909999159,11.2,3.7013511046643495,5.4,0.8944271909999159,158.8,3.7013511046643495,0.6754169816669817,0.06734012081311926,5,0.8071428571428572,0.03194382824999698,5,0.7330048998387633,0.034147008211090006,5,0.9341176470588235,0.021772653556849125,5,0.9161616161616162,0.01620889549078909,5,0.8706302521008403,0.012370364434763083,5,0.06588235294117648,0.021772653556849115,5,0.19285714285714287,0.031943828249996996,5,0.9671795151358805,0.0047024347514387525,5,0.6894393608857533,0.038510956458198964,5
DeepSeek-V4-Pro,PlanningPoker,Syntactic,5,0.0,0.0,1.0,0.0,8.0,0.0,141.0,0.0,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.9929577464788732,0.0,5,0.94,0.0,5,0.4964788732394366,0.0,5,0.007042253521126761,0.0,5,1.0,0.0,5,0.9463087248322147,0.0,5,-0.01944498834157844,0.0,5
DeepSeek-V4-Pro,Zooniverse,Pragmatic,5,9.2,1.6431676725154984,47.8,19.498717906570164,2.8,1.6431676725154984,270.2,19.498717906570164,0.174048970769767,0.05303517399149855,5,0.7666666666666666,0.13693063937629152,5,0.28018488156250365,0.07427426064484013,5,0.849685534591195,0.06131672297663573,5,0.8466666666666667,0.057957268702110445,5,0.8081761006289309,0.06713532684273195,5,0.15031446540880503,0.06131672297663574,5,0.2333333333333333,0.13693063937629152,5,0.9898246595812641,0.005882031049220993,5,0.31576972640157885,0.08197672267890165,5
DeepSeek-V4-Pro,Zooniverse,Semantic,5,28.6,5.683308895353129,52.8,26.90167281044062,20.4,5.683308895353129,106.2,26.90167281044062,0.38663358459010955,0.15518389557191356,5,0.5836734693877551,0.11598589582353325,5,0.4524511722855407,0.12533256097935888,5,0.6679245283018868,0.16919291075748819,5,0.6480769230769231,0.1310217443221052,5,0.6257989988448209,0.10046376355067758,5,0.3320754716981132,0.16919291075748816,5,0.4163265306122449,0.11598589582353322,5,0.8349578449352396,0.04772910355822196,5,0.23560868669560833,0.19908290055475414,5
DeepSeek-V4-Pro,Zooniverse,Syntactic,5,3.0,0.0,1.2,1.6431676725154984,5.0,0.0,132.8,1.6431676725154984,0.8,0.27386127875258304,5,0.375,0.0,5,0.49870129870129865,0.06401951970839603,5,0.991044776119403,0.012262445317279812,5,0.9563380281690141,0.011571603327573978,5,0.6830223880597015,0.006131222658639906,5,0.008955223880597014,0.012262445317279838,5,0.625,0.0,5,0.9637113838341091,0.00043460846183756375,5,0.5224171154300601,0.10795688187482842,5
GPT-4.1,BADCamp,Pragmatic,5,21.0,1.0,27.4,4.61519230368573,15.0,1.0,307.6,4.61519230368573,0.43698269051210226,0.045009283387962236,5,0.5833333333333334,0.02777777777777779,5,0.4987191395237372,0.03405484566270135,5,0.9182089552238806,0.013776693443837976,5,0.8857142857142857,0.013010801494498325,5,0.750771144278607,0.016157977597399405,5,0.0817910447761194,0.013776693443838002,5,0.4166666666666667,0.027777777777777762,5,0.9534988624986723,0.003098087055454646,5,0.4422300574009581,0.03819740394496112,5
