model,criterion,runs,TP_mean,TP_sd,FP_mean,FP_sd,FN_mean,FN_sd,TN_mean,TN_sd,precision_mean,precision_sd,precision_defined_runs,recall_mean,recall_sd,recall_defined_runs,F1_mean,F1_sd,F1_defined_runs,specificity_mean,specificity_sd,specificity_defined_runs,accuracy_mean,accuracy_sd,accuracy_defined_runs,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_defined_runs,FPR_mean,FPR_sd,FPR_defined_runs,FNR_mean,FNR_sd,FNR_defined_runs,NPV_mean,NPV_sd,NPV_defined_runs,MCC_mean,MCC_sd,MCC_defined_runs
AQUSA,Atomic,1,3.0,0.0,12.0,0.0,2.0,0.0,145.0,0.0,0.2,0.0,1,0.6,0.0,1,0.3,0.0,1,0.9235668789808917,0.0,1,0.9135802469135802,0.0,1,0.7617834394904459,0.0,1,0.07643312101910828,0.0,1,0.4,0.0,1,0.9863945578231292,0.0,1,0.31239400906304066,0.0,1
AQUSA,Minimal,1,5.0,0.0,7.0,0.0,15.0,0.0,106.0,0.0,0.4166666666666667,0.0,1,0.25,0.0,1,0.3125,0.0,1,0.9380530973451328,0.0,1,0.8345864661654135,0.0,1,0.5940265486725664,0.0,1,0.061946902654867256,0.0,1,0.75,0.0,1,0.8760330578512396,0.0,1,0.23461263774072227,0.0,1
AQUSA,Uniform,1,0.0,0.0,1.0,0.0,3.0,0.0,178.0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.994413407821229,0.0,1,0.978021978021978,0.0,1,0.4972067039106145,0.0,1,0.00558659217877095,0.0,1,1.0,0.0,1,0.9834254143646409,0.0,1,-0.009622652985370852,0.0,1
AQUSA,Unique,1,0.0,0.0,0.0,0.0,4.0,0.0,172.0,0.0,,,0,0.0,0.0,1,0.0,0.0,1,1.0,0.0,1,0.9772727272727273,0.0,1,0.5,0.0,1,0.0,0.0,1,1.0,0.0,1,0.9772727272727273,0.0,1,,,0
AQUSA,Well-formed,1,0.0,0.0,0.0,0.0,0.0,0.0,182.0,0.0,,,0,,,0,,,0,1.0,0.0,1,1.0,0.0,1,,,0,0.0,0.0,1,,,0,1.0,0.0,1,,,0
DeepSeek-V4-Pro,Atomic,5,4.4,0.5477225575051661,1.8,1.6431676725154984,0.6,0.5477225575051661,155.2,1.6431676725154984,0.7520634920634921,0.1881618661713323,5,0.88,0.1095445115010332,5,0.7957864357864358,0.1058749344162265,5,0.9885350318471338,0.01046603613067196,5,0.9851851851851852,0.009361574622285847,5,0.9342675159235669,0.05295710095696703,5,0.011464968152866243,0.010466036130671964,5,0.12000000000000001,0.10954451150103323,5,0.9961699692842262,0.0034966023809453106,5,0.799039963661978,0.10377193546706115,5
DeepSeek-V4-Pro,Minimal,5,5.0,0.0,1.0,1.0,15.0,0.0,112.0,1.0,0.8523809523809524,0.1432534186332507,5,0.25,0.0,5,0.3850712250712251,0.014817006193395687,5,0.9911504424778761,0.008849557522123908,5,0.8796992481203008,0.007518796992481203,5,0.620575221238938,0.004424778761061954,5,0.008849557522123894,0.008849557522123894,5,0.75,0.0,5,0.8818839051368579,0.0009300652901722391,5,0.41971778217426553,0.04903112669293383,5
DeepSeek-V4-Pro,Uniform,5,1.2,1.6431676725154984,0.2,0.4472135954999579,1.8,1.6431676725154984,178.8,0.4472135954999579,0.875,0.1767766952966369,2,0.4,0.5477225575051661,5,0.37142857142857144,0.5111012519999519,5,0.9988826815642458,0.0024983999748601224,5,0.9890109890109889,0.0077704041888631906,5,0.6994413407821229,0.27309808876519215,5,0.00111731843575419,0.0024983999748601003,5,0.6,0.5477225575051661,5,0.99010989010989,0.00902839380503024,5,0.9318014751786756,0.09644727873615502,2
DeepSeek-V4-Pro,Unique,5,4.0,0.0,4.8,1.7888543819998317,0.0,0.0,167.2,1.7888543819998317,0.47333333333333333,0.11642832797715318,5,1.0,0.0,5,0.6361904761904762,0.10042991486829769,5,0.9720930232558139,0.01040031617441759,5,0.9727272727272728,0.010163945352271763,5,0.9860465116279069,0.0052001580872088225,5,0.027906976744186046,0.010400316174417626,5,0.0,0.0,5,1.0,0.0,5,0.674910221716888,0.08352742019758116,5
DeepSeek-V4-Pro,Well-formed,5,0.0,0.0,1.0,0.0,0.0,0.0,181.0,0.0,0.0,0.0,5,,,0,0.0,0.0,5,0.9945054945054945,0.0,5,0.9945054945054945,0.0,5,,,0,0.005494505494505495,0.0,5,,,0,1.0,0.0,5,,,0
GPT-4.1,Atomic,5,5.0,0.0,14.2,0.8366600265340756,0.0,0.0,142.8,0.8366600265340756,0.2608187134502924,0.01153952471384276,5,1.0,0.0,5,0.4136231884057971,0.014469183732429324,5,0.9095541401273886,0.00532904475499411,5,0.9123456790123456,0.005164568065025127,5,0.9547770700636943,0.002664522377497055,5,0.09044585987261146,0.005329044754994117,5,0.0,0.0,5,1.0,0.0,5,0.48699017889294455,0.012169316331425999,5
GPT-4.1,Minimal,5,4.4,1.3416407864998738,0.2,0.4472135954999579,15.6,1.3416407864998738,112.8,0.4472135954999579,0.9666666666666667,0.07453559924999298,5,0.22,0.0670820393249937,5,0.3532867132867133,0.09608503577283493,5,0.9982300884955753,0.003957642438052731,5,0.881203007518797,0.009803311887522754,5,0.6091150442477876,0.03310181101856669,5,0.0017699115044247787,0.003957642438052725,5,0.78,0.0670820393249937,5,0.8785845367253712,0.008947114126550458,5,0.423674804815138,0.07639303330175153,5
GPT-4.1,Uniform,5,0.0,0.0,9.0,0.0,3.0,0.0,170.0,0.0,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.9497206703910615,0.0,5,0.9340659340659341,0.0,5,0.4748603351955307,0.0,5,0.05027932960893855,0.0,5,1.0,0.0,5,0.9826589595375722,0.0,5,-0.029527883249097702,0.0,5
GPT-4.1,Unique,5,2.4,0.5477225575051661,0.8,1.0954451150103321,1.6,0.5477225575051661,171.2,1.0954451150103321,0.82,0.24899799195977465,5,0.6,0.13693063937629152,5,0.6714285714285714,0.12643731473668335,5,0.9953488372093023,0.006368866947734501,5,0.9863636363636363,0.006478269460790541,5,0.7976744186046512,0.068007104025571,5,0.004651162790697674,0.00636886694773449,5,0.4,0.13693063937629152,5,0.9907510574477891,0.0031360880656444014,5,0.684060325673793,0.1338753457584178,5
GPT-4.1,Well-formed,5,0.0,0.0,0.0,0.0,0.0,0.0,182.0,0.0,,,0,,,0,,,0,1.0,0.0,5,1.0,0.0,5,,,0,0.0,0.0,5,,,0,1.0,0.0,5,,,0
GPT-5.2,Atomic,5,5.0,0.0,17.4,2.8809720581775866,0.0,0.0,139.6,2.8809720581775866,0.2260805860805861,0.02788114914970199,5,1.0,0.0,5,0.3681058726220017,0.03737883937670857,5,0.889171974522293,0.018350140497946407,5,0.8925925925925926,0.017783778136898704,5,0.9445859872611465,0.009175070248973204,5,0.11082802547770701,0.018350140497946407,5,0.0,0.0,5,1.0,0.0,5,0.44787111599487084,0.03249873930478029,5
GPT-5.2,Minimal,5,2.4,0.5477225575051661,0.0,0.0,17.6,0.5477225575051661,113.0,0.0,1.0,0.0,5,0.12,0.0273861278752583,5,0.2134387351778656,0.04329822588973645,5,1.0,0.0,5,0.8676691729323308,0.004118214718083925,5,0.56,0.013693063937629105,5,0.0,0.0,5,0.88,0.02738612787525833,5,0.8652495596007046,0.0036343305342386393,5,0.32065508849008584,0.03691012005705668,5
