model,project,runs,TP_mean,TP_sd,FP_mean,FP_sd,FN_mean,FN_sd,TN_mean,TN_sd,precision_mean,precision_sd,precision_defined_runs,recall_mean,recall_sd,recall_defined_runs,F1_mean,F1_sd,F1_defined_runs,specificity_mean,specificity_sd,specificity_defined_runs,accuracy_mean,accuracy_sd,accuracy_defined_runs,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_defined_runs,FPR_mean,FPR_sd,FPR_defined_runs,FNR_mean,FNR_sd,FNR_defined_runs,NPV_mean,NPV_sd,NPV_defined_runs,MCC_mean,MCC_sd,MCC_defined_runs
AQUSA,BADCamp,1,5.0,0.0,10.0,0.0,6.0,0.0,300.0,0.0,0.3333333333333333,0.0,1,0.45454545454545453,0.0,1,0.38461538461538464,0.0,1,0.967741935483871,0.0,1,0.9501557632398754,0.0,1,0.7111436950146628,0.0,1,0.03225806451612903,0.0,1,0.5454545454545454,0.0,1,0.9803921568627451,0.0,1,0.3639812061639621,0.0,1
AQUSA,PlanningPoker,1,1.0,0.0,4.0,0.0,9.0,0.0,240.0,0.0,0.2,0.0,1,0.1,0.0,1,0.13333333333333333,0.0,1,0.9836065573770492,0.0,1,0.9488188976377953,0.0,1,0.5418032786885246,0.0,1,0.01639344262295082,0.0,1,0.9,0.0,1,0.963855421686747,0.0,1,0.11704438352519782,0.0,1
AQUSA,Zooniverse,1,2.0,0.0,6.0,0.0,9.0,0.0,243.0,0.0,0.25,0.0,1,0.18181818181818182,0.0,1,0.21052631578947367,0.0,1,0.9759036144578314,0.0,1,0.9423076923076923,0.0,1,0.5788608981380066,0.0,1,0.024096385542168676,0.0,1,0.8181818181818182,0.0,1,0.9642857142857143,0.0,1,0.18384103941566307,0.0,1
DeepSeek-V4-Pro,BADCamp,5,8.4,0.5477225575051661,4.4,1.949358868961793,2.6,0.5477225575051661,305.6,1.949358868961793,0.6686538461538462,0.10101097690657834,5,0.7636363636363637,0.049792959773196935,5,0.7089026915113872,0.05829545414617995,5,0.9858064516129033,0.006288254416005782,5,0.9781931464174455,0.005828126770675922,5,0.8747214076246335,0.02420190027351541,5,0.014193548387096773,0.006288254416005783,5,0.23636363636363636,0.04979295977319691,5,0.9915686618620222,0.0017501069986499624,5,0.7015481184628353,0.058542750044773086,5
DeepSeek-V4-Pro,PlanningPoker,5,2.0,0.0,3.2,0.4472135954999579,8.0,0.0,240.8,0.4472135954999579,0.38666666666666666,0.029814239699997216,5,0.2,0.0,5,0.2633333333333333,0.007453559924999297,5,0.9868852459016394,0.0018328426045080511,5,0.9559055118110236,0.0017606834468502249,5,0.5934426229508197,0.0009164213022540504,5,0.013114754098360656,0.001832842604508025,5,0.8,0.0,5,0.9678455758517943,5.793672697240743e-05,5,0.2572440332870745,0.012370112899567156,5
DeepSeek-V4-Pro,Zooniverse,5,4.2,1.6431676725154984,1.2,1.6431676725154984,6.8,1.6431676725154984,247.8,1.6431676725154984,0.8333333333333334,0.23570226039551584,5,0.3818181818181818,0.14937887931959073,5,0.5031932773109243,0.14505769314584852,5,0.9951807228915662,0.006599066957893589,5,0.9692307692307692,0.008158924398306289,5,0.688499452354874,0.07421086543747582,5,0.004819277108433735,0.006599066957893568,5,0.6181818181818182,0.1493788793195908,5,0.9733283539148349,0.006272828053598507,5,0.5392286841230809,0.1382593430875565,5
GPT-4.1,BADCamp,5,8.2,1.7888543819998317,14.8,1.3038404810405297,2.8,1.7888543819998317,295.2,1.3038404810405297,0.3546980990024468,0.06770358142725161,5,0.7454545454545455,0.16262312563634837,5,0.4803304048892284,0.09533760325697585,5,0.952258064516129,0.004205937035614601,5,0.9451713395638629,0.008416981985112959,5,0.8488563049853373,0.08241326230467803,5,0.04774193548387097,0.004205937035614611,5,0.2545454545454545,0.16262312563634831,5,0.9906217727805122,0.005937805246393728,5,0.49067883397793616,0.1095272331551654,5
GPT-4.1,PlanningPoker,5,0.6,0.8944271909999159,0.0,0.0,9.4,0.8944271909999159,244.0,0.0,1.0,0.0,2,0.060000000000000005,0.08944271909999159,5,0.10303030303030303,0.15090787391501492,5,1.0,0.0,5,0.9629921259842519,0.0035213668937004497,5,0.53,0.04472135954999579,5,0.0,0.0,5,0.9400000000000001,0.08944271909999157,5,0.9629141219007703,0.0034078991399804663,5,0.37530497328834966,0.09157420732876433,2
GPT-4.1,Zooniverse,5,3.0,0.0,9.4,0.5477225575051661,8.0,0.0,239.6,0.5477225575051661,0.2423076923076923,0.010533126105868573,5,0.2727272727272727,0.0,5,0.2565217391304348,0.005953506059838758,5,0.9622489959839358,0.00219968898596455,5,0.9330769230769231,0.0021066252211737082,5,0.6174881343556042,0.001099844492982275,5,0.03775100401606426,0.002199688985964523,5,0.7272727272727273,0.0,5,0.9676896957032781,7.153226557465995e-05,5,0.2220979612337646,0.006667069249166174,5
GPT-5.2,BADCamp,5,6.4,0.5477225575051661,13.8,2.3874672772626644,4.6,0.5477225575051661,296.2,2.3874672772626644,0.3203246753246753,0.042831062509220426,5,0.5818181818181818,0.049792959773196935,5,0.41178722710980775,0.04024772039947507,5,0.9554838709677419,0.007701507346008596,5,0.9426791277258567,0.007502551139434453,5,0.7686510263929618,0.024899804376655583,5,0.044516129032258066,0.007701507346008595,5,0.41818181818181815,0.04979295977319691,5,0.9847101039434742,0.0017905634276084359,5,0.40419566262797085,0.04090734863122488,5
