model,project,run,n,TP,FP,FN,TN,precision,recall,F1,specificity,accuracy,balanced_accuracy,FPR,FNR,NPV,MCC
DeepSeek-V4-Pro,BADCamp,1,321,8,5,3,305,0.6153846153846154,0.7272727272727273,0.6666666666666666,0.9838709677419355,0.9750778816199377,0.8555718475073314,0.016129032258064516,0.2727272727272727,0.9902597402597403,0.6562775060427575
DeepSeek-V4-Pro,BADCamp,2,321,8,5,3,305,0.6153846153846154,0.7272727272727273,0.6666666666666666,0.9838709677419355,0.9750778816199377,0.8555718475073314,0.016129032258064516,0.2727272727272727,0.9902597402597403,0.6562775060427575
DeepSeek-V4-Pro,BADCamp,3,321,8,2,3,308,0.8,0.7272727272727273,0.7619047619047619,0.9935483870967742,0.9844236760124611,0.8604105571847507,0.0064516129032258064,0.2727272727272727,0.9903536977491961,0.7547871442715699
DeepSeek-V4-Pro,BADCamp,4,321,9,3,2,307,0.75,0.8181818181818182,0.782608695652174,0.9903225806451613,0.9844236760124611,0.9042521994134898,0.00967741935483871,0.18181818181818182,0.9935275080906149,0.775335579565471
DeepSeek-V4-Pro,BADCamp,5,321,9,7,2,303,0.5625,0.8181818181818182,0.6666666666666666,0.9774193548387097,0.9719626168224299,0.897800586510264,0.02258064516129032,0.18181818181818182,0.9934426229508196,0.6650628563916204
DeepSeek-V4-Pro,PlanningPoker,1,254,2,3,8,241,0.4,0.2,0.26666666666666666,0.9877049180327869,0.9566929133858267,0.5938524590163935,0.012295081967213115,0.8,0.9678714859437751,0.2627761159536304
DeepSeek-V4-Pro,PlanningPoker,2,254,2,3,8,241,0.4,0.2,0.26666666666666666,0.9877049180327869,0.9566929133858267,0.5938524590163935,0.012295081967213115,0.8,0.9678714859437751,0.2627761159536304
DeepSeek-V4-Pro,PlanningPoker,3,254,2,4,8,240,0.3333333333333333,0.2,0.25,0.9836065573770492,0.952755905511811,0.5918032786885246,0.01639344262295082,0.8,0.967741935483871,0.23511570262085119
DeepSeek-V4-Pro,PlanningPoker,4,254,2,3,8,241,0.4,0.2,0.26666666666666666,0.9877049180327869,0.9566929133858267,0.5938524590163935,0.012295081967213115,0.8,0.9678714859437751,0.2627761159536304
DeepSeek-V4-Pro,PlanningPoker,5,254,2,3,8,241,0.4,0.2,0.26666666666666666,0.9877049180327869,0.9566929133858267,0.5938524590163935,0.012295081967213115,0.8,0.9678714859437751,0.2627761159536304
