model,criterion,runs,TP_mean,TP_sd,FP_mean,FP_sd,FN_mean,FN_sd,TN_mean,TN_sd,precision_mean,precision_sd,precision_defined_runs,recall_mean,recall_sd,recall_defined_runs,F1_mean,F1_sd,F1_defined_runs,specificity_mean,specificity_sd,specificity_defined_runs,accuracy_mean,accuracy_sd,accuracy_defined_runs,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_defined_runs,FPR_mean,FPR_sd,FPR_defined_runs,FNR_mean,FNR_sd,FNR_defined_runs,NPV_mean,NPV_sd,NPV_defined_runs,MCC_mean,MCC_sd,MCC_defined_runs
DeepSeek-V4-Pro,Atomic,5,4.4,0.5477225575051661,1.8,1.6431676725154984,0.6,0.5477225575051661,155.2,1.6431676725154984,0.7520634920634921,0.1881618661713323,5,0.88,0.1095445115010332,5,0.7957864357864358,0.1058749344162265,5,0.9885350318471338,0.01046603613067196,5,0.9851851851851852,0.009361574622285847,5,0.9342675159235669,0.05295710095696703,5,0.011464968152866243,0.010466036130671964,5,0.12000000000000001,0.10954451150103323,5,0.9961699692842262,0.0034966023809453106,5,0.799039963661978,0.10377193546706115,5
DeepSeek-V4-Pro,Complete,5,0.0,0.0,52.6,18.742998692845283,0.0,0.0,125.4,18.742998692845283,0.0,0.0,5,,,0,0.0,0.0,5,0.7044943820224719,0.10529774546542296,5,0.7044943820224719,0.10529774546542296,5,,,0,0.29550561797752806,0.10529774546542293,5,,,0,1.0,0.0,5,,,0
DeepSeek-V4-Pro,Conceptually sound,5,1.0,0.0,45.6,24.480604567698077,0.0,0.0,129.4,24.480604567698077,0.03191295678055428,0.026624006989431768,5,1.0,0.0,5,0.06084609131008725,0.04874063148399386,5,0.7394285714285714,0.13988916895827472,5,0.7409090909090909,0.13909434413464813,5,0.8697142857142857,0.06994458447913737,5,0.26057142857142856,0.13988916895827475,5,0.0,0.0,5,1.0,0.0,5,0.1483251480244657,0.0739989973143272,5
DeepSeek-V4-Pro,Conflict-free,5,0.0,0.0,3.2,1.7888543819998317,0.0,0.0,176.8,1.7888543819998317,0.0,0.0,4,,,0,0.0,0.0,4,0.9822222222222222,0.00993807989999908,5,0.9822222222222222,0.00993807989999908,5,,,0,0.017777777777777778,0.009938079899999066,5,,,0,1.0,0.0,5,,,0
DeepSeek-V4-Pro,Estimatable,5,14.4,0.5477225575051661,14.8,1.9235384061671346,22.6,0.5477225575051661,77.2,1.9235384061671346,0.4947890818858561,0.03140453159451551,5,0.3891891891891892,0.014803312365004491,5,0.4351832091428228,0.014558544449279178,5,0.8391304347826087,0.020908026153990594,5,0.710077519379845,0.01408209467022088,5,0.614159811985899,0.010614179096851091,5,0.1608695652173913,0.020908026153990587,5,0.6108108108108108,0.01480331236500446,5,0.7735140722314752,0.005030106900971509,5,0.24742908749679415,0.02733461987248607,5
DeepSeek-V4-Pro,Full sentence,5,6.0,0.7071067811865476,0.8,1.3038404810405297,2.0,0.7071067811865476,168.2,1.3038404810405297,0.9114285714285714,0.13340134319918576,5,0.75,0.08838834764831845,5,0.8122588522588523,0.04248466686347003,5,0.9952662721893492,0.007715032432192476,5,0.984180790960452,0.004726892805277259,5,0.8726331360946745,0.04111737549324035,5,0.004733727810650888,0.007715032432192484,5,0.25,0.08838834764831845,5,0.9882827193669875,0.004049640701256919,5,0.8139951300730004,0.043550930912728776,5
DeepSeek-V4-Pro,Independent,5,3.0,0.0,59.8,6.797058187186571,0.0,0.0,93.2,6.797058187186571,0.04824016775153946,0.005447360840143146,5,1.0,0.0,5,0.09199918324918326,0.00988934133435262,5,0.6091503267973857,0.04442521690971616,5,0.6166666666666667,0.04357088581529854,5,0.8045751633986928,0.02221260845485807,5,0.3908496732026144,0.044425216909716146,5,0.0,0.0,5,1.0,0.0,5,0.17139488104595166,0.015890445545818054,5
DeepSeek-V4-Pro,Minimal,5,5.0,0.0,1.0,1.0,15.0,0.0,112.0,1.0,0.8523809523809524,0.1432534186332507,5,0.25,0.0,5,0.3850712250712251,0.014817006193395687,5,0.9911504424778761,0.008849557522123908,5,0.8796992481203008,0.007518796992481203,5,0.620575221238938,0.004424778761061954,5,0.008849557522123894,0.008849557522123894,5,0.75,0.0,5,0.8818839051368579,0.0009300652901722391,5,0.41971778217426553,0.04903112669293383,5
DeepSeek-V4-Pro,Problem-oriented,5,50.4,6.188699378706321,3.0,0.7071067811865476,32.6,6.188699378706321,54.0,0.7071067811865476,0.9440212492391445,0.010029670416978095,5,0.6072289156626506,0.0745626431169436,5,0.736900105515236,0.054429792481786185,5,0.9473684210526315,0.01240538212607978,5,0.7457142857142857,0.041218680132152886,5,0.777298668357641,0.033730314028224725,5,0.05263157894736842,0.01240538212607978,5,0.3927710843373494,0.07456264311694362,5,0.6262197794459838,0.04369564074048549,5,0.5622460826264144,0.05581181781100803,5
DeepSeek-V4-Pro,Unambiguous,5,28.2,0.8366600265340756,22.2,3.03315017762062,21.8,0.8366600265340756,71.8,3.03315017762062,0.5611376659678546,0.03114022972045747,5,0.5640000000000001,0.01673320053068147,5,0.5619978774419244,0.015202911428509226,5,0.7638297872340425,0.0322675550810704,5,0.6944444444444444,0.019018144357818293,5,0.6639148936170213,0.014235139734452677,5,0.23617021276595745,0.03226755508107043,5,0.436,0.016733200530681527,5,0.7670032567904909,0.007575863557954696,5,0.3279465489526276,0.032428078230364796,5
