model,project,conditions,mean_pairwise_jaccard_mean,mean_pairwise_jaccard_sd,mean_pairwise_jaccard_min,mean_pairwise_jaccard_max,min_pairwise_jaccard_mean,min_pairwise_jaccard_sd,min_pairwise_jaccard_min,min_pairwise_jaccard_max,unanimous_unit_rate_mean,unanimous_unit_rate_sd,unanimous_unit_rate_min,unanimous_unit_rate_max,flip_unit_rate_mean,flip_unit_rate_sd,flip_unit_rate_min,flip_unit_rate_max,fleiss_kappa_across_runs_mean,fleiss_kappa_across_runs_sd,fleiss_kappa_across_runs_min,fleiss_kappa_across_runs_max
DeepSeek-V4-Pro,BADCamp,13,0.7181661304318485,0.17382298495832468,0.4173809523809524,1.0,0.5011966636966637,0.3162377192201683,0.0,1.0,0.8998791210469481,0.0865021116795887,0.7288135593220338,1.0,0.10012087895305194,0.0865021116795887,0.0,0.27118644067796616,0.7443986023781114,0.11341942692993294,0.4762960616619153,0.897623862487361
DeepSeek-V4-Pro,PlanningPoker,13,0.8086419776804392,0.2446711366561807,0.2413095238095238,1.0,0.6547011785738576,0.4054409204781926,0.0,1.0,0.9137849615339722,0.10930261640128042,0.7045454545454546,1.0,0.08621503846602784,0.10930261640128042,0.0,0.2954545454545454,0.6852954433604936,0.3407193522546283,-0.0037878787878641335,1.0
DeepSeek-V4-Pro,Zooniverse,13,0.7387507720802796,0.2622034469105329,0.34679027113237637,1.0,0.6126910126910127,0.39526660018445203,0.0,1.0,0.7782199651096281,0.3271716472590242,0.05,1.0,0.22178003489037187,0.3271716472590242,0.0,0.95,0.45901979508163926,0.34723151628850984,-0.10400000000000018,0.862231182795699
GPT-4.1,BADCamp,13,0.7900713326392059,0.21835163418620956,0.28095238095238095,1.0,0.6415317588394511,0.3348021171559976,0.0,1.0,0.9412036352217996,0.04907653854868116,0.847457627118644,1.0,0.05879636477820042,0.04907653854868116,0.0,0.15254237288135597,0.8114317992422112,0.1769530634086779,0.4128987031195244,1.0
GPT-4.1,PlanningPoker,13,0.8384386191660439,0.230262458714321,0.35,1.0,0.6923898750821827,0.4312218828119375,0.0,1.0,0.9353856658316904,0.14081199172225475,0.5,1.0,0.06461433416830961,0.14081199172225475,0.0,0.5,0.5378374373363157,0.3871364998849846,-0.0038610038610110216,1.0
GPT-4.1,Zooniverse,13,0.8570015962789915,0.2586024422668232,0.25920745920745925,1.0,0.7765275448533367,0.3838250871660679,0.0,1.0,0.9333119780379048,0.1216690825972852,0.6486486486486487,1.0,0.06668802196209521,0.1216690825972852,0.0,0.3513513513513513,0.6743485187071865,0.37118272366196703,0.13838988689288037,1.0
GPT-5.2,BADCamp,13,0.793527336627855,0.18959028604810815,0.42000000000000004,1.0,0.6414399828426978,0.3012138481337128,0.0,1.0,0.8773680827251765,0.1594545149762323,0.5373134328358209,1.0,0.12263191727482345,0.1594545149762323,0.0,0.4626865671641791,0.78155830306315,0.1696717721101625,0.49050004726344654,0.942592592592593
GPT-5.2,PlanningPoker,13,0.8343403751336551,0.14506581531009952,0.6,1.0,0.6963504632622279,0.30455858492652904,0.0,1.0,0.9223541066448798,0.10164648550653795,0.7142857142857143,1.0,0.07764589335512019,0.10164648550653795,0.0,0.2857142857142857,0.7460939244400342,0.27994692143487265,-0.0038610038610110216,1.0
GPT-5.2,Zooniverse,13,0.836287005471539,0.22702721274782078,0.37218045112781956,1.0,0.7362552535166499,0.35491651795377327,0.03508771929824561,1.0,0.7987385245552399,0.32755953630535073,0.08333333333333333,1.0,0.2012614754447602,0.32755953630535073,0.0,0.9166666666666666,0.5419140344899931,0.3896668309762388,-0.1120832565850065,1.0
Gemini-3.1-Pro-Preview,BADCamp,13,0.8376029192194606,0.20027849601594627,0.27999999999999997,1.0,0.6970879684225548,0.2946157722077423,0.0,1.0,0.9594242439425629,0.03500211586058623,0.8936170212765957,1.0,0.04057575605743713,0.03500211586058623,0.0,0.1063829787234043,0.8408237688096862,0.1880671967148256,0.31434599156118104,1.0
Gemini-3.1-Pro-Preview,PlanningPoker,13,0.9028768616185004,0.2027136792835756,0.27014492753623187,1.0,0.8408440170940171,0.29307780579444725,0.0,1.0,0.9427382034040082,0.12223852594334005,0.5576923076923077,1.0,0.05726179659599181,0.12223852594334005,0.0,0.4423076923076923,0.8358572311564602,0.23721029257282378,0.3172268907563025,1.0
Gemini-3.1-Pro-Preview,Zooniverse,13,0.8079742708107381,0.24329999181926162,0.26666666666666666,1.0,0.6769723865877711,0.38740728687507026,0.0,1.0,0.908859951787599,0.1784038492896759,0.3559322033898305,1.0,0.09114004821240093,0.1784038492896759,0.0,0.6440677966101696,0.6628649563383326,0.3659181529204167,-0.010101010101008969,1.0
