prompt_profile,model,project,run,n,TP,FP,FN,TN,precision,recall,F1,specificity,accuracy,balanced_accuracy,FPR,FNR,NPV,MCC
few_shot,DeepSeek-V4-Pro,BADCamp,1,345,12,11,13,309,0.5217391304347826,0.48,0.5,0.965625,0.9304347826086956,0.7228125,0.034375,0.52,0.9596273291925466,0.46315108611707756
few_shot,DeepSeek-V4-Pro,BADCamp,2,345,13,2,12,318,0.8666666666666667,0.52,0.65,0.99375,0.9594202898550724,0.756875,0.00625,0.48,0.9636363636363636,0.6531218736332307
few_shot,DeepSeek-V4-Pro,BADCamp,3,345,11,6,14,314,0.6470588235294118,0.44,0.5238095238095238,0.98125,0.9420289855072463,0.710625,0.01875,0.56,0.9573170731707317,0.5045724392839303
few_shot,DeepSeek-V4-Pro,BADCamp,4,345,13,2,12,318,0.8666666666666667,0.52,0.65,0.99375,0.9594202898550724,0.756875,0.00625,0.48,0.9636363636363636,0.6531218736332307
few_shot,DeepSeek-V4-Pro,BADCamp,5,345,11,3,14,317,0.7857142857142857,0.44,0.5641025641025641,0.990625,0.9507246376811594,0.7153125,0.009375,0.56,0.9577039274924471,0.5658042665641091
few_shot,DeepSeek-V4-Pro,PlanningPoker,1,265,8,2,8,247,0.8,0.5,0.6153846153846154,0.9919678714859438,0.9622641509433962,0.7459839357429718,0.008032128514056224,0.5,0.9686274509803922,0.6149308993899153
few_shot,DeepSeek-V4-Pro,PlanningPoker,2,265,10,8,6,241,0.5555555555555556,0.625,0.5882352941176471,0.9678714859437751,0.9471698113207547,0.7964357429718876,0.0321285140562249,0.375,0.9757085020242915,0.5612230494606251
few_shot,DeepSeek-V4-Pro,PlanningPoker,3,265,7,4,9,245,0.6363636363636364,0.4375,0.5185185185185185,0.9839357429718876,0.9509433962264151,0.7107178714859438,0.01606425702811245,0.5625,0.9645669291338582,0.503243101636727
few_shot,DeepSeek-V4-Pro,PlanningPoker,4,265,10,7,6,242,0.5882352941176471,0.625,0.6060606060606061,0.9718875502008032,0.9509433962264151,0.7984437751004017,0.028112449799196786,0.375,0.9758064516129032,0.5802322774717833
few_shot,DeepSeek-V4-Pro,PlanningPoker,5,265,7,4,9,245,0.6363636363636364,0.4375,0.5185185185185185,0.9839357429718876,0.9509433962264151,0.7107178714859438,0.01606425702811245,0.5625,0.9645669291338582,0.503243101636727
few_shot,DeepSeek-V4-Pro,Zooniverse,1,300,15,6,9,270,0.7142857142857143,0.625,0.6666666666666666,0.9782608695652174,0.95,0.8016304347826086,0.021739130434782608,0.375,0.967741935483871,0.6414363515326532
few_shot,DeepSeek-V4-Pro,Zooniverse,2,300,13,5,11,271,0.7222222222222222,0.5416666666666666,0.6190476190476191,0.9818840579710145,0.9466666666666667,0.7617753623188406,0.018115942028985508,0.4583333333333333,0.9609929078014184,0.5980784032276242
few_shot,DeepSeek-V4-Pro,Zooniverse,3,300,9,4,15,272,0.6923076923076923,0.375,0.4864864864864865,0.9855072463768116,0.9366666666666666,0.6802536231884058,0.014492753623188406,0.625,0.9477351916376306,0.4803541377506824
few_shot,DeepSeek-V4-Pro,Zooniverse,4,300,12,10,12,266,0.5454545454545454,0.5,0.5217391304347826,0.9637681159420289,0.9266666666666666,0.7318840579710144,0.036231884057971016,0.5,0.9568345323741008,0.4826444439572991
few_shot,DeepSeek-V4-Pro,Zooniverse,5,300,8,0,16,276,1.0,0.3333333333333333,0.5,1.0,0.9466666666666667,0.6666666666666666,0.0,0.6666666666666666,0.9452054794520548,0.5613096232478871
few_shot,Gemini-3.1-Pro-Preview,BADCamp,1,345,14,3,11,317,0.8235294117647058,0.56,0.6666666666666666,0.990625,0.9594202898550724,0.7753125000000001,0.009375,0.44,0.9664634146341463,0.6595375652954637
few_shot,Gemini-3.1-Pro-Preview,BADCamp,2,345,14,3,11,317,0.8235294117647058,0.56,0.6666666666666666,0.990625,0.9594202898550724,0.7753125000000001,0.009375,0.44,0.9664634146341463,0.6595375652954637
few_shot,Gemini-3.1-Pro-Preview,BADCamp,3,345,14,2,11,318,0.875,0.56,0.6829268292682927,0.99375,0.9623188405797102,0.776875,0.00625,0.44,0.9665653495440729,0.682654240673879
few_shot,Gemini-3.1-Pro-Preview,BADCamp,4,345,15,2,10,318,0.8823529411764706,0.6,0.7142857142857143,0.99375,0.9652173913043478,0.796875,0.00625,0.4,0.9695121951219512,0.7111926072993081
few_shot,Gemini-3.1-Pro-Preview,BADCamp,5,345,14,2,11,318,0.875,0.56,0.6829268292682927,0.99375,0.9623188405797102,0.776875,0.00625,0.44,0.9665653495440729,0.682654240673879
few_shot,Gemini-3.1-Pro-Preview,PlanningPoker,1,265,5,2,11,247,0.7142857142857143,0.3125,0.43478260869565216,0.9919678714859438,0.9509433962264151,0.6522339357429718,0.008032128514056224,0.6875,0.9573643410852714,0.4522121877417948
few_shot,Gemini-3.1-Pro-Preview,PlanningPoker,2,265,5,0,11,249,1.0,0.3125,0.47619047619047616,1.0,0.9584905660377359,0.65625,0.0,0.6875,0.9576923076923077,0.5470638410220933
few_shot,Gemini-3.1-Pro-Preview,PlanningPoker,3,265,5,0,11,249,1.0,0.3125,0.47619047619047616,1.0,0.9584905660377359,0.65625,0.0,0.6875,0.9576923076923077,0.5470638410220933
few_shot,Gemini-3.1-Pro-Preview,PlanningPoker,4,265,5,2,11,247,0.7142857142857143,0.3125,0.43478260869565216,0.9919678714859438,0.9509433962264151,0.6522339357429718,0.008032128514056224,0.6875,0.9573643410852714,0.4522121877417948
few_shot,Gemini-3.1-Pro-Preview,PlanningPoker,5,265,5,0,11,249,1.0,0.3125,0.47619047619047616,1.0,0.9584905660377359,0.65625,0.0,0.6875,0.9576923076923077,0.5470638410220933
few_shot,Gemini-3.1-Pro-Preview,Zooniverse,1,300,8,1,16,275,0.8888888888888888,0.3333333333333333,0.48484848484848486,0.9963768115942029,0.9433333333333334,0.6648550724637681,0.0036231884057971015,0.6666666666666666,0.9450171821305842,0.5243541661241787
few_shot,Gemini-3.1-Pro-Preview,Zooniverse,2,300,8,3,16,273,0.7272727272727273,0.3333333333333333,0.45714285714285713,0.9891304347826086,0.9366666666666666,0.661231884057971,0.010869565217391304,0.6666666666666666,0.9446366782006921,0.4654744232731817
few_shot,Gemini-3.1-Pro-Preview,Zooniverse,3,300,8,1,16,275,0.8888888888888888,0.3333333333333333,0.48484848484848486,0.9963768115942029,0.9433333333333334,0.6648550724637681,0.0036231884057971015,0.6666666666666666,0.9450171821305842,0.5243541661241787
few_shot,Gemini-3.1-Pro-Preview,Zooniverse,4,300,8,2,16,274,0.8,0.3333333333333333,0.47058823529411764,0.9927536231884058,0.94,0.6630434782608695,0.007246376811594203,0.6666666666666666,0.9448275862068966,0.4928271103740542
few_shot,Gemini-3.1-Pro-Preview,Zooniverse,5,300,8,5,16,271,0.6153846153846154,0.3333333333333333,0.43243243243243246,0.9818840579710145,0.93,0.657608695652174,0.018115942028985508,0.6666666666666666,0.9442508710801394,0.4200081405458228
few_shot,GPT-5-Mini,BADCamp,1,345,10,4,15,316,0.7142857142857143,0.4,0.5128205128205128,0.9875,0.9449275362318841,0.6937500000000001,0.0125,0.6,0.9546827794561934,0.5091417202753956
few_shot,GPT-5-Mini,BADCamp,2,345,8,4,17,316,0.6666666666666666,0.32,0.43243243243243246,0.9875,0.9391304347826087,0.65375,0.0125,0.68,0.948948948948949,0.4350882689774591
few_shot,GPT-5-Mini,BADCamp,3,345,8,1,17,319,0.8888888888888888,0.32,0.47058823529411764,0.996875,0.9478260869565217,0.6584375,0.003125,0.68,0.9494047619047619,0.5153972260259441
few_shot,GPT-5-Mini,BADCamp,4,345,7,5,18,315,0.5833333333333334,0.28,0.3783783783783784,0.984375,0.9333333333333333,0.6321875,0.015625,0.72,0.9459459459459459,0.3740697922306203
few_shot,GPT-5-Mini,BADCamp,5,345,8,4,17,316,0.6666666666666666,0.32,0.43243243243243246,0.9875,0.9391304347826087,0.65375,0.0125,0.68,0.948948948948949,0.4350882689774591
few_shot,GPT-5-Mini,PlanningPoker,1,265,4,1,12,248,0.8,0.25,0.38095238095238093,0.9959839357429718,0.9509433962264151,0.6229919678714859,0.004016064257028112,0.75,0.9538461538461539,0.4306205334953023
few_shot,GPT-5-Mini,PlanningPoker,2,265,3,3,13,246,0.5,0.1875,0.2727272727272727,0.9879518072289156,0.939622641509434,0.5877259036144578,0.012048192771084338,0.8125,0.9498069498069498,0.2809260440894641
few_shot,GPT-5-Mini,PlanningPoker,3,265,2,0,14,249,1.0,0.125,0.2222222222222222,1.0,0.9471698113207547,0.5625,0.0,0.875,0.9467680608365019,0.34401454562934214
few_shot,GPT-5-Mini,PlanningPoker,4,265,6,3,10,246,0.6666666666666666,0.375,0.48,0.9879518072289156,0.9509433962264151,0.6814759036144578,0.012048192771084338,0.625,0.9609375,0.47727357617624744
few_shot,GPT-5-Mini,PlanningPoker,5,265,4,4,12,245,0.5,0.25,0.3333333333333333,0.9839357429718876,0.939622641509434,0.6169678714859438,0.01606425702811245,0.75,0.953307392996109,0.32564520843272693
few_shot,GPT-5-Mini,Zooniverse,1,300,6,2,18,274,0.75,0.25,0.375,0.9927536231884058,0.9333333333333333,0.6213768115942029,0.007246376811594203,0.75,0.9383561643835616,0.40877983432183085
few_shot,GPT-5-Mini,Zooniverse,2,300,3,1,21,275,0.75,0.125,0.21428571428571427,0.9963768115942029,0.9266666666666666,0.5606884057971014,0.0036231884057971015,0.875,0.9290540540540541,0.28709130251750675
