prompt_profile,model,project,n,TP,FP,FN,TN,precision,recall,F1,specificity,accuracy,balanced_accuracy,FPR,FNR,NPV,MCC
few_shot,DeepSeek-V4-Pro,BADCamp,897,59,53,75,710,0.5267857142857143,0.44029850746268656,0.4796747967479675,0.9305373525557011,0.8573021181716833,0.6854179300091938,0.06946264744429882,0.5597014925373134,0.9044585987261147,0.39990105738017295
few_shot,DeepSeek-V4-Pro,PlanningPoker,689,41,67,17,564,0.37962962962962965,0.7068965517241379,0.4939759036144578,0.8938193343898574,0.8780841799709724,0.8003579430569976,0.10618066561014262,0.29310344827586204,0.9707401032702238,0.45877299895096185
few_shot,DeepSeek-V4-Pro,Zooniverse,780,63,104,48,565,0.3772455089820359,0.5675675675675675,0.45323741007194246,0.8445440956651719,0.8051282051282052,0.7060558316163696,0.1554559043348281,0.43243243243243246,0.9216965742251223,0.35099504144754234
few_shot,Gemini-3.1-Pro-Preview,BADCamp,897,47,81,87,682,0.3671875,0.35074626865671643,0.35877862595419846,0.8938401048492791,0.8127090301003345,0.6222931867529977,0.10615989515072084,0.6492537313432836,0.8868660598179454,0.24927502657137515
few_shot,Gemini-3.1-Pro-Preview,PlanningPoker,689,33,62,25,569,0.3473684210526316,0.5689655172413793,0.43137254901960786,0.901743264659271,0.8737300435413643,0.7353543909503252,0.098256735340729,0.43103448275862066,0.9579124579124579,0.37907570573068533
few_shot,Gemini-3.1-Pro-Preview,Zooniverse,780,48,46,63,623,0.5106382978723404,0.43243243243243246,0.4682926829268293,0.9312406576980568,0.8602564102564103,0.6818365450652446,0.0687593423019432,0.5675675675675675,0.9081632653061225,0.390265113266086
few_shot,GPT-5-Mini,BADCamp,897,37,50,97,713,0.42528735632183906,0.27611940298507465,0.334841628959276,0.9344692005242464,0.8361204013377926,0.6052943017546606,0.0655307994757536,0.7238805970149254,0.8802469135802469,0.25365731848878376
few_shot,GPT-5-Mini,PlanningPoker,689,29,43,29,588,0.4027777777777778,0.5,0.4461538461538462,0.9318541996830428,0.895500725689405,0.7159270998415215,0.06814580031695722,0.5,0.9529983792544571,0.3919737587664056
few_shot,GPT-5-Mini,Zooniverse,780,40,34,71,635,0.5405405405405406,0.36036036036036034,0.43243243243243246,0.9491778774289985,0.8653846153846154,0.6547691188946794,0.05082212257100149,0.6396396396396397,0.8994334277620396,0.3690376225015166
one_shot,DeepSeek-V4-Pro,BADCamp,897,60,55,74,708,0.5217391304347826,0.44776119402985076,0.4819277108433735,0.927916120576671,0.8561872909698997,0.6878386573032609,0.07208387942332896,0.5522388059701493,0.9053708439897699,0.4005690055826537
one_shot,DeepSeek-V4-Pro,PlanningPoker,689,36,60,22,571,0.375,0.6206896551724138,0.4675324675324675,0.9049128367670365,0.8809869375907112,0.7628012459697251,0.09508716323296355,0.3793103448275862,0.9629005059021922,0.42142774935900124
one_shot,DeepSeek-V4-Pro,Zooniverse,780,63,95,48,574,0.3987341772151899,0.5675675675675675,0.4684014869888476,0.8579970104633782,0.8166666666666667,0.7127822890154729,0.14200298953662183,0.43243243243243246,0.9228295819935691,0.3699272164868654
one_shot,Gemini-3.1-Pro-Preview,BADCamp,897,49,90,85,673,0.35251798561151076,0.3656716417910448,0.358974358974359,0.8820445609436435,0.8049052396878483,0.6238581013673441,0.11795543905635648,0.6343283582089553,0.8878627968337731,0.24402093073697376
one_shot,Gemini-3.1-Pro-Preview,PlanningPoker,689,40,63,18,568,0.3883495145631068,0.6896551724137931,0.4968944099378882,0.9001584786053882,0.8824383164005806,0.7949068255095907,0.09984152139461172,0.3103448275862069,0.9692832764505119,0.4592784582276011
one_shot,Gemini-3.1-Pro-Preview,Zooniverse,780,51,53,60,616,0.49038461538461536,0.4594594594594595,0.4744186046511628,0.9207772795216741,0.8551282051282051,0.6901183694905668,0.07922272047832586,0.5405405405405406,0.9112426035502958,0.39078564970309804
one_shot,GPT-5-Mini,BADCamp,897,39,61,95,702,0.39,0.291044776119403,0.3333333333333333,0.9200524246395806,0.8260869565217391,0.6055486003794918,0.0799475753604194,0.7089552238805971,0.8808030112923463,0.23909361689705924
one_shot,GPT-5-Mini,PlanningPoker,689,30,47,28,584,0.38961038961038963,0.5172413793103449,0.4444444444444444,0.9255150554675119,0.8911465892597968,0.7213782173889284,0.07448494453248812,0.4827586206896552,0.954248366013072,0.39018672031092255
one_shot,GPT-5-Mini,Zooniverse,780,53,37,58,632,0.5888888888888889,0.4774774774774775,0.527363184079602,0.9446935724962631,0.8782051282051282,0.7110855249868703,0.05530642750373692,0.5225225225225225,0.9159420289855073,0.4616546313622782
zero_shot,DeepSeek-V4-Pro,BADCamp,897,59,59,75,704,0.5,0.44029850746268656,0.46825396825396826,0.9226736566186108,0.850613154960981,0.6814860820406486,0.07732634338138926,0.5597014925373134,0.9037227214377407,0.38280557713942404
zero_shot,DeepSeek-V4-Pro,PlanningPoker,689,33,46,25,585,0.4177215189873418,0.5689655172413793,0.48175182481751827,0.9270998415213946,0.8969521044992743,0.748032679381387,0.07290015847860538,0.43103448275862066,0.9590163934426229,0.432303860368039
zero_shot,DeepSeek-V4-Pro,Zooniverse,780,49,83,62,586,0.3712121212121212,0.44144144144144143,0.40329218106995884,0.8759342301943199,0.8141025641025641,0.6586878358178807,0.12406576980568013,0.5585585585585585,0.904320987654321,0.2957152439161303
zero_shot,Gemini-3.1-Pro-Preview,BADCamp,897,47,87,87,676,0.35074626865671643,0.35074626865671643,0.35074626865671643,0.8859764089121888,0.8060200668896321,0.6183613387844527,0.11402359108781127,0.6492537313432836,0.8859764089121888,0.23672267756890514
zero_shot,Gemini-3.1-Pro-Preview,PlanningPoker,689,33,66,25,565,0.3333333333333333,0.5689655172413793,0.42038216560509556,0.8954041204437401,0.8679245283018868,0.7321848188425597,0.1045958795562599,0.43103448275862066,0.9576271186440678,0.36757747437165456
zero_shot,Gemini-3.1-Pro-Preview,Zooniverse,780,45,38,66,631,0.5421686746987951,0.40540540540540543,0.4639175257731959,0.9431988041853513,0.8666666666666667,0.6743021047953783,0.05680119581464873,0.5945945945945946,0.9053084648493543,0.39495875043112466
zero_shot,GPT-5-Mini,BADCamp,897,44,46,90,717,0.4888888888888889,0.3283582089552239,0.39285714285714285,0.9397116644823067,0.8483835005574136,0.6340349367187653,0.06028833551769332,0.6716417910447762,0.8884758364312267,0.3180567781958937
zero_shot,GPT-5-Mini,PlanningPoker,689,30,40,28,591,0.42857142857142855,0.5172413793103449,0.46875,0.936608557844691,0.9013062409288825,0.7269249685775179,0.06339144215530904,0.4827586206896552,0.9547657512116317,0.4171061674846472
zero_shot,GPT-5-Mini,Zooniverse,780,53,104,58,565,0.3375796178343949,0.4774774774774775,0.39552238805970147,0.8445440956651719,0.7923076923076923,0.6610107865713246,0.1554559043348281,0.5225225225225225,0.9069020866773676,0.28058578561907604
